OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,TRACT_DESCRIPTION,Shape_Length,Shape_Area,stop_id,stop_name,stop_lat,stop_lon
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0053",GRANBY & DUFFYS,36.953547,-76.251738
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0054",OCEAN VIEW & HAMMETT,36.951082,-76.247823
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0055",OCEAN VIEW & NORFOLK,36.949813,-76.245815
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0149",OCEAN VIEW & NORFOLK,36.94997,-76.245823
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0156",FIRST VIEW & GOVERNMENT,36.952121,-76.257532
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0160",GRANBY & GOVERNMENT,36.9504,-76.254341
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0610",OCEAN VIEW & FIRST VIEW,36.956534,-76.2543
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0719",OCEAN VIEW & MASON CREEK,36.958326,-76.256919
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"1346",OCEAN VIEW & FIRST VIEW,36.95587,-76.253034
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"2062",1ST VIEW & A VIEW,36.955034,-76.254782
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"2086",1ST VIEW & PORTVIEW,36.955179,-76.254483
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"3801",FIRST VIEW & GOVERNMENT,36.951989,-76.257806
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"5751",CHESAPEAKE & OCEAN VIEW,36.947605,-76.243868
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"0605",OCEAN VIEW & 8TH VIEW,36.965201,-76.272485
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"0606",OCEAN VIEW & 7TH VIEW,36.963665,-76.267602
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"0607",OCEAN VIEW & 6TH VIEW,36.962663,-76.265735
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"0608",OCEAN VIEW & 4TH VIEW,36.959208,-76.260125
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"0693",OCEAN VIEW & 11TH VIEW,36.967222,-76.281794
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"0695",OCEAN VIEW & RICHVIEW,36.967223,-76.289028
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"0696",OCEAN VIEW & 15TH VIEW,36.967134,-76.293485
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1007",OCEAN VIEW & 5TH VIEW,36.961387,-76.263407
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1008",OCEAN VIEW & 6TH VIEW,36.96299,-76.265889
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1009",OCEAN VIEW & 7TH VIEW,36.964151,-76.268488
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1010",OCEAN VIEW & SALEM,36.966635,-76.276475
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1014",OCEAN VIEW & 15TH VIEW,36.966952,-76.294315
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1015",OCEAN VIEW & 14th VIEW,36.967042,-76.290922
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1016",OCEAN VIEW & LE CLAIR,36.967098,-76.286382
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1017",OCEAN VIEW & HANSFORD,36.967068,-76.283866
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1018",OCEAN VIEW & 10TH VIEW,36.9668,-76.278106
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"1019",OCEAN VIEW & 9TH VIEW,36.966134,-76.275429
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"3850",OCEAN VIEW & 12TH VIEW,36.967244,-76.284186
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"3851",OCEAN VIEW & 5TH VIEW,36.961469,-76.263884
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"5614",OCEAN VIEW & 4TH VIEW,36.959491,-76.260383
"5","51","710","000400","51710000400","4",Census Tract,G5020,S,1157416,6429767,"+36.9650231","-076.2907359",WILLOUGBY,0.178535081736343,0.000767661752461734,"5938",OCEAN VIEW & 8TH VIEW,36.965198,-76.271831
"6","51","710","000500","51710000500","5",Census Tract,G5020,S,1099448,0,"+36.9475134","-076.2633187",PAMLICO,0.0525780061358683,0.000111223663119786,"0153",FIRST VIEW & MAPLE,36.949561,-76.260216
"6","51","710","000500","51710000500","5",Census Tract,G5020,S,1099448,0,"+36.9475134","-076.2633187",PAMLICO,0.0525780061358683,0.000111223663119786,"0161",GRANBY & OSBORNE,36.948937,-76.255945
"6","51","710","000500","51710000500","5",Census Tract,G5020,S,1099448,0,"+36.9475134","-076.2633187",PAMLICO,0.0525780061358683,0.000111223663119786,"0162",GRANBY & LEICESTER,36.942684,-76.26024
"6","51","710","000500","51710000500","5",Census Tract,G5020,S,1099448,0,"+36.9475134","-076.2633187",PAMLICO,0.0525780061358683,0.000111223663119786,"0927",GRANBY & SLOANE,36.945606,-76.259316
"6","51","710","000500","51710000500","5",Census Tract,G5020,S,1099448,0,"+36.9475134","-076.2633187",PAMLICO,0.0525780061358683,0.000111223663119786,"2065",1ST VIEW & SAINT GEORGE,36.947834,-76.264377
"6","51","710","000500","51710000500","5",Census Tract,G5020,S,1099448,0,"+36.9475134","-076.2633187",PAMLICO,0.0525780061358683,0.000111223663119786,"2084",1ST VIEW & BAY,36.945088,-76.27041
"6","51","710","000500","51710000500","5",Census Tract,G5020,S,1099448,0,"+36.9475134","-076.2633187",PAMLICO,0.0525780061358683,0.000111223663119786,"2085",1ST VIEW & SAINT GEORGE,36.948133,-76.263472
"6","51","710","000500","51710000500","5",Census Tract,G5020,S,1099448,0,"+36.9475134","-076.2633187",PAMLICO,0.0525780061358683,0.000111223663119786,"3803",FIRST VIEW & MAPLE,36.949773,-76.259998
"6","51","710","000500","51710000500","5",Census Tract,G5020,S,1099448,0,"+36.9475134","-076.2633187",PAMLICO,0.0525780061358683,0.000111223663119786,"3894",FIRST VIEW & RIDGEWELL,36.946387,-76.267443
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"0044",GRANBY & CHESTER,36.939587,-76.261315
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"0046",GRANBY & RANDALL,36.943404,-76.259692
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"0343",CHESAPEAKE & LEICESTER,36.941928,-76.245853
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"0344",CHESAPEAKE & FARRELL,36.939119,-76.245435
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"0623",TIDEWATER & TWILLEY,36.939341,-76.254904
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"0625",TIDEWATER & BECK,36.937368,-76.254552
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"0981",TIDEWATER & BECK,36.937061,-76.254243
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"0982",TIDEWATER & CHESTER,36.939187,-76.254592
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"0983",TIDEWATER & RANDALL,36.942675,-76.256688
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"3848",TIDEWATER & GILPIN,36.944155,-76.25785
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"3852",TIDEWATER & LORENGO,36.944057,-76.258099
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"3853",TIDEWATER & LEICESTER,36.941753,-76.256172
"7","51","710","000600","51710000600","6",Census Tract,G5020,S,1248687,0,"+36.9404240","-076.2535165","OCEANAIR, BAYVIEW",0.0506226768736539,0.000126309319407151,"5957",CHESAPEAKE & DUDLEY,36.943244,-76.245889
"8","51","710","000700","51710000700","7",Census Tract,G5020,S,1312199,33089,"+36.9332787","-076.2537728","OCEANAIR, BAYVIEW",0.0557468215237538,0.00013606863320923,"0042",GRANBY & BAYVIEW,36.934688,-76.264051
"8","51","710","000700","51710000700","7",Census Tract,G5020,S,1312199,33089,"+36.9332787","-076.2537728","OCEANAIR, BAYVIEW",0.0557468215237538,0.00013606863320923,"0346",CHESAPEAKE & EARL,36.935884,-76.244927
"8","51","710","000700","51710000700","7",Census Tract,G5020,S,1312199,33089,"+36.9332787","-076.2537728","OCEANAIR, BAYVIEW",0.0557468215237538,0.00013606863320923,"0347",CHESAPEAKE & BAYVIEW,36.934065,-76.244657
"8","51","710","000700","51710000700","7",Census Tract,G5020,S,1312199,33089,"+36.9332787","-076.2537728","OCEANAIR, BAYVIEW",0.0557468215237538,0.00013606863320923,"0348",CHESAPEAKE & FISHERMANS,36.929915,-76.243982
"8","51","710","000700","51710000700","7",Census Tract,G5020,S,1312199,33089,"+36.9332787","-076.2537728","OCEANAIR, BAYVIEW",0.0557468215237538,0.00013606863320923,"0980",TIDEWATER & BAYVIEW,36.933637,-76.253713
"8","51","710","000700","51710000700","7",Census Tract,G5020,S,1312199,33089,"+36.9332787","-076.2537728","OCEANAIR, BAYVIEW",0.0557468215237538,0.00013606863320923,"5617",TIDEWATER & EVANS,36.934593,-76.254114
"8","51","710","000700","51710000700","7",Census Tract,G5020,S,1312199,33089,"+36.9332787","-076.2537728","OCEANAIR, BAYVIEW",0.0557468215237538,0.00013606863320923,"5723",TIDEWATER & WOODFORD,36.932189,-76.25375
"9","51","710","000800","51710000800","8",Census Tract,G5020,S,941358,204737,"+36.9378793","-076.2687837","MERRIMAC PARK, COMMODORE PARK",0.0487455910938273,0.000115929630084182,"0164",GRANBY & CHESTER,36.939594,-76.261672
"9","51","710","000800","51710000800","8",Census Tract,G5020,S,941358,204737,"+36.9378793","-076.2687837","MERRIMAC PARK, COMMODORE PARK",0.0487455910938273,0.000115929630084182,"0165",GRANBY & LANDALE,36.936227,-76.263575
"9","51","710","000800","51710000800","8",Census Tract,G5020,S,941358,204737,"+36.9378793","-076.2687837","MERRIMAC PARK, COMMODORE PARK",0.0487455910938273,0.000115929630084182,"0166",GRANBY & BAYVIEW,36.934366,-76.264629
"10","51","710","000901","51710000901","9.01",Census Tract,G5020,S,3398577,0,"+36.9249579","-076.2993822",NAVAL BASE,0.0984366985031162,0.000343711312976101,"0231",HAMPTON & STAFF COLLEGE,36.919734,-76.312223
"10","51","710","000901","51710000901","9.01",Census Tract,G5020,S,3398577,0,"+36.9249579","-076.2993822",NAVAL BASE,0.0984366985031162,0.000343711312976101,"0233",HAMPTON & BAKER,36.923317,-76.315957
"10","51","710","000901","51710000901","9.01",Census Tract,G5020,S,3398577,0,"+36.9249579","-076.2993822",NAVAL BASE,0.0984366985031162,0.000343711312976101,"5449",HAMPTON & HELMICK,36.925879,-76.31722
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"0039",WARDS CORNER TRANSFER,36.917757,-76.272754
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"0239",HAMMOND & ADMIRAL TAUSSIG,36.943201,-76.312152
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"0240",HAMPTON & B,36.936992,-76.318637
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"0243",HAMPTON & MAPLESHADE,36.930522,-76.318052
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"0244",HAMPTON & BEECHWOOD,36.929452,-76.317979
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"0245",HAMPTON & GLENDALE,36.927748,-76.317837
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"0246",HAMPTON & HELMICK,36.925313,-76.317393
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"0248",HAMPTON & BAKER,36.923785,-76.316641
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"0250",HAMPTON & STAFF COLLEGE,36.918838,-76.311732
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"2066",1ST VIEW & BAY,36.945197,-76.270407
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"3774",GATE 4 NAVAL STATION,36.945231,-76.272542
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"3891",VIRGINIA & GILBERT,36.947393,-76.322919
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"3892",GILBERT & GALLEY,36.9475,-76.314491
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"3893",GILBERT & BAINBRIDGE,36.947813,-76.307697
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"5079",HAMPTON & TAUSSIG,36.941592,-76.318664
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"5082",B & VIRGINIA,36.937312,-76.321285
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"5085",DECATUR & GILBERT,36.946529,-76.328606
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"5145",HAMPTON & B,36.938809,-76.318371
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"5185",GILBERT & BACON,36.947358,-76.317263
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"5920",1ST VIEW & RIDGEWELL,36.946452,-76.267542
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"6051",HAMPTON & TAUSSIG,36.942136,-76.31906
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"8851",GILBERT & FARRAGUT,36.947692,-76.310371
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"8870",SECOND & A,36.938322,-76.325156
"11","51","710","000902","51710000902","9.02",Census Tract,G5020,S,17627459,8026430,"+36.9372397","-076.3092149","NAVAL BASE, SEWELLS POINT",0.367552649582729,0.00259478277450723,"8871",SECOND & ESCORT,36.939719,-76.325278
"12","51","710","001100","51710001100","11",Census Tract,G5020,S,660096,0,"+36.9296812","-076.3122741",GLENWOOD PARK,0.039400613195385,6.67621295864166e-05,"0235",HAMPTON & BEECHWOOD,36.929456,-76.317648
"13","51","710","001200","51710001200","12",Census Tract,G5020,S,2001429,1416159,"+36.9110890","-076.3051537","LOCHAVEN, MEADOWBROOK",0.106239159938007,0.000345570942229488,"0228",HAMPTON & HELENA,36.909809,-76.305531
"13","51","710","001200","51710001200","12",Census Tract,G5020,S,2001429,1416159,"+36.9110890","-076.3051537","LOCHAVEN, MEADOWBROOK",0.106239159938007,0.000345570942229488,"0230",HAMPTON & LITTLE CREEK,36.915454,-76.307612
"13","51","710","001200","51710001200","12",Census Tract,G5020,S,2001429,1416159,"+36.9110890","-076.3051537","LOCHAVEN, MEADOWBROOK",0.106239159938007,0.000345570942229488,"0252",HAMPTON & LITTLE CREEK,36.915778,-76.30843
"13","51","710","001200","51710001200","12",Census Tract,G5020,S,2001429,1416159,"+36.9110890","-076.3051537","LOCHAVEN, MEADOWBROOK",0.106239159938007,0.000345570942229488,"0253",HAMPTON & RUNNYMEDE,36.914414,-76.307211
